Scenario,c factor,"3-phase I""k (kA)","2-phase I""k (kA)","L-G I""k (kA)",Peak ip 3ph (kA),κ factor,Z1 (Ω),Z0 (Ω),|Z1| (Ω),|Z0| (Ω)
MAX,1.05,7.516,6.509,4.133,10.864,1.022,0.030082 + j0.014680,0.114818 + j0.022864,0.033473,0.117072
MIN,0.95,8.031,6.955,4.615,11.681,1.029,0.023954 + j0.015153,0.090064 + j0.023186,0.028344,0.093
